dataset,model,accuracy,f1,precision,recall,roc_auc,avg_precision,threshold
Diabetes,Stacking_Tuned,0.7077922077922078,0.6616541353383458,0.5569620253164557,0.8148148148148148,0.7987037037037037,0.656998249607431,0.39999999999999997
Diabetes,Stacking_Thr0.50,0.7142857142857143,0.6666666666666666,0.5641025641025641,0.8148148148148148,0.7987037037037037,0.656998249607431,0.5
Heart,RF_Tuned,0.8097826086956522,0.8401826484018264,0.7863247863247863,0.9019607843137255,0.9143950263032042,0.9277757570218357,0.44999999999999996
Heart,RF_Thr0.50,0.8315217391304348,0.8558139534883721,0.8141592920353983,0.9019607843137255,0.9143950263032042,0.9277757570218357,0.5
Pneumonia,DenseNet121_FocalLoss,0.9230769230769231,0.9393939393939394,0.9253731343283582,0.9538461538461539,0.9658722331799254,0.975171515845163,0.9249999999999999
